dteday,hr,datetime,cnt,temp,hum,windspeed,traffic_factor,weather_condition,holiday_flag,weekend_flag,area_name,bike_model,event_name,base_price,surge_multiplier,final_price,zone
2024-05-01,0,2024-05-01 00:00:00,680,23.6,61.7,3.2,0.72,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,1,2024-05-01 01:00:00,718,28.3,62.6,4.1,0.77,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,2,2024-05-01 02:00:00,649,30.9,59.3,6.6,0.7,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,3,2024-05-01 03:00:00,730,28.3,59.4,0.6,0.7,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,4,2024-05-01 04:00:00,690,30.6,54.4,4.2,0.74,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,5,2024-05-01 05:00:00,983,31.8,64.3,18.6,0.81,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,6,2024-05-01 06:00:00,1020,30.0,56.4,1.5,0.77,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,7,2024-05-01 07:00:00,1208,27.4,62.8,5.0,0.81,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-01,8,2024-05-01 08:00:00,1117,26.4,67.2,0.7,0.89,Foggy,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-01,9,2024-05-01 09:00:00,485,31.2,53.0,14.0,0.86,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-01,10,2024-05-01 10:00:00,1052,26.6,58.2,8.3,0.85,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,11,2024-05-01 11:00:00,600,31.6,66.1,1.1,0.79,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-01,12,2024-05-01 12:00:00,745,29.2,51.2,2.6,0.72,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,13,2024-05-01 13:00:00,302,28.6,57.6,1.2,0.72,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-01,14,2024-05-01 14:00:00,711,30.9,50.9,1.4,0.76,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,15,2024-05-01 15:00:00,817,26.7,62.0,4.1,0.74,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,16,2024-05-01 16:00:00,961,30.3,63.4,18.2,0.76,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,17,2024-05-01 17:00:00,1108,27.1,60.1,7.6,0.78,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-01,18,2024-05-01 18:00:00,1148,28.8,62.3,6.2,0.85,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-01,19,2024-05-01 19:00:00,879,26.9,57.8,12.9,0.83,Foggy,1,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,20,2024-05-01 20:00:00,886,28.6,57.0,5.9,0.83,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,21,2024-05-01 21:00:00,831,27.5,55.8,5.2,0.74,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-01,22,2024-05-01 22:00:00,740,30.0,66.7,6.8,0.77,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-01,23,2024-05-01 23:00:00,621,29.9,62.2,3.4,0.72,Cloudy,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-02,0,2024-05-02 00:00:00,907,30.2,59.0,2.6,0.7,Foggy,1,0,Bangalore,All,IPL Match Days,65.0,1.17,76.05,City
2024-05-02,1,2024-05-02 01:00:00,860,26.6,55.2,1.7,0.74,Foggy,1,0,Bangalore,All,IPL Match Days,65.0,1.17,76.05,City
2024-05-02,2,2024-05-02 02:00:00,908,29.0,62.2,7.6,0.71,Foggy,1,0,Bangalore,All,IPL Match Days,65.0,1.17,76.05,City
2024-05-02,3,2024-05-02 03:00:00,395,26.9,57.0,0.6,0.77,Heavy Rain,1,0,Bangalore,All,IPL Match Days,65.0,1.0,65.0,City
2024-05-02,4,2024-05-02 04:00:00,719,27.3,62.1,10.2,0.74,Light Rain,1,0,Bangalore,All,IPL Match Days,65.0,1.08,70.2,City
2024-05-02,5,2024-05-02 05:00:00,1200,24.5,53.3,3.3,0.82,Cloudy,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,6,2024-05-02 06:00:00,1508,29.5,49.3,8.1,0.8,Cloudy,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,7,2024-05-02 07:00:00,1584,28.6,55.7,0.8,0.82,Cloudy,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,8,2024-05-02 08:00:00,1823,32.2,58.4,10.6,0.81,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,9,2024-05-02 09:00:00,1209,26.1,60.1,3.8,0.84,Light Rain,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,10,2024-05-02 10:00:00,1506,31.4,54.8,4.8,0.82,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,11,2024-05-02 11:00:00,1251,27.7,61.2,8.7,0.75,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,12,2024-05-02 12:00:00,1120,31.3,52.4,8.4,0.73,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,13,2024-05-02 13:00:00,1063,29.2,62.4,8.6,0.76,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,14,2024-05-02 14:00:00,1126,27.3,65.4,17.4,0.79,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,15,2024-05-02 15:00:00,1239,26.5,56.9,1.6,0.75,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,16,2024-05-02 16:00:00,1324,30.8,62.6,1.5,0.81,Cloudy,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,17,2024-05-02 17:00:00,1480,28.5,62.4,15.6,0.81,Cloudy,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,18,2024-05-02 18:00:00,1527,27.8,59.4,8.5,0.8,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,19,2024-05-02 19:00:00,1587,28.9,49.5,5.5,0.76,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,20,2024-05-02 20:00:00,1355,26.1,68.5,0.9,0.76,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,21,2024-05-02 21:00:00,1210,28.2,55.4,13.8,0.76,Cloudy,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,22,2024-05-02 22:00:00,1075,32.2,62.1,9.7,0.78,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.25,81.25,City
2024-05-02,23,2024-05-02 23:00:00,1055,31.7,55.5,13.5,0.78,Clear,1,0,Bangalore,All,IPL Match Days,65.0,1.17,76.05,City
2024-05-03,0,2024-05-03 00:00:00,732,31.3,65.2,0.3,0.72,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,1,2024-05-03 01:00:00,649,30.1,62.4,2.6,0.73,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,2,2024-05-03 02:00:00,280,27.7,61.0,2.9,0.72,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-03,3,2024-05-03 03:00:00,652,27.1,62.2,5.1,0.69,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,4,2024-05-03 04:00:00,759,28.0,59.3,0.4,0.77,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,5,2024-05-03 05:00:00,589,28.0,57.2,8.8,0.75,Light Rain,1,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-03,6,2024-05-03 06:00:00,703,29.5,57.2,4.9,0.84,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,7,2024-05-03 07:00:00,1260,29.5,55.5,6.5,0.79,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-03,8,2024-05-03 08:00:00,1189,31.7,58.9,6.8,0.84,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-03,9,2024-05-03 09:00:00,825,29.3,58.6,2.0,0.8,Light Rain,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-03,10,2024-05-03 10:00:00,975,25.8,60.4,3.8,0.76,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-03,11,2024-05-03 11:00:00,763,27.9,64.4,2.6,0.76,Foggy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,12,2024-05-03 12:00:00,635,30.9,77.6,10.0,0.72,Foggy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,13,2024-05-03 13:00:00,590,29.8,66.7,11.5,0.75,Foggy,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-03,14,2024-05-03 14:00:00,581,31.1,48.6,1.6,0.71,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-03,15,2024-05-03 15:00:00,811,35.2,67.3,6.4,0.74,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,16,2024-05-03 16:00:00,938,28.9,58.8,3.4,0.8,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-03,17,2024-05-03 17:00:00,964,28.9,59.3,10.9,0.83,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-03,18,2024-05-03 18:00:00,1075,29.5,56.3,7.2,0.86,Clear,1,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-03,19,2024-05-03 19:00:00,1036,27.7,59.0,4.4,0.76,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-03,20,2024-05-03 20:00:00,667,30.6,60.6,8.7,0.73,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
